review_id,listing_id,customer_id,rating,comment
497e0a71-4ecd-4a64-be0d-4c6f45531825,93e9ec1b-13b4-4518-96f2-a58b6118ade4,c115ff2f-0c98-4983-bf03-167384d2903e,4.7,Manyata Tech Park delivery was perfectly packaged. Tomato and coriander were crisp.
4c1ca463-49ec-4dcd-97fa-dd491bf026b2,3d4ce172-6260-4dfa-9af8-74eeb46f6ae1,c10ab049-f2a7-46b2-b4fb-24d4a0618ba0,4.7,Delivered to Bidadi within 35 mins from North BLR farm hub! Super fresh.
636ac7d5-c383-4202-ab79-16cc1626ca29,6ceef2d2-1469-48a0-9d65-3453b2d6099a,2e323422-ea44-449d-9be7-c0c560a0f2e1,4.5,Direct farmgate connection saves money compared to supermarket prices in Channapatna.
e203a372-0ec4-4de7-a858-0a99e8633392,ae9fd366-c734-40ed-a400-bcb11499a529,7d95baf6-9014-479f-825c-8329b36563da,4.7,Genuine organic produce straight from local farmers. Great natural aroma and crispness.
62ae1b80-2150-4808-a754-14a59f9e7357,7e966e66-f79b-4e76-b29c-f497a16698ed,8db95983-f362-4452-a960-11964662f0bf,5.0,Genuine organic produce straight from local farmers. Great natural aroma and crispness.
7685274b-4222-48da-b70a-9ac242eb9d04,a0b08496-a82f-4cd0-be10-3ab342d8be86,94141fff-971c-4f52-8395-528bde27315a,5.0,Manyata Tech Park delivery was perfectly packaged. Tomato and coriander were crisp.
0b6b0a68-b943-4d08-9320-4e7f4e9e21bf,ddd394f4-7f83-4572-a19b-1683aeddbe47,f93c5b61-46df-44b0-a718-571307f2d308,5.0,Direct farmgate connection saves money compared to supermarket prices in Bidadi.
4f3db99d-a093-4143-9a86-686154e7545f,d24fe122-9118-4ac7-a533-519394afeea2,8b9f7985-5ef6-485d-959c-fd171563bb8a,4.8,Direct farmgate connection saves money compared to supermarket prices in Mandya.
5f296f62-dabd-49e1-8c50-dcf6497688c6,a2871f5a-0a54-4d8a-b7a4-48f8bde8162e,2631bbc2-340f-4a9a-a752-4cec04e400d2,5.0,Genuine organic produce straight from local farmers. Great natural aroma and crispness.
6224fb84-06a4-4a83-828a-346885246ff9,07085e02-3d10-40d1-bd00-3c9607f4b23f,fc58c463-84fd-4548-9e91-513ebe48d753,5.0,Genuine organic produce straight from local farmers. Great natural aroma and crispness.
13512069-058b-4311-8948-a6cd84651e1d,3a4326ef-cf5f-4283-abaa-a5ee739e5cd3,9f9b965f-1f61-4e93-9afb-80390aafca75,4.8,Delivered to Bengaluru (JP Nagar) within 35 mins from North BLR farm hub! Super fresh.
e1293f7d-cdbc-4cad-874d-82abc24320fc,91c9927e-dbc0-4857-b3b3-487f7a5adc1d,95381c19-145e-4e11-ab3f-3555b2a07941,5.0,Direct farmgate connection saves money compared to supermarket prices in Bengaluru (RR Nagar).
3cc7c0ca-acd2-427d-b91c-98b7d2306fc8,104009cc-da4b-4dee-a460-f070c98af59a,9a5217aa-9f63-4c33-a507-b5fcd2e8ffdf,5.0,Greens and vegetables were freshly harvested this morning. Unbeatable quality!
f1ce3d44-7d79-4708-8b84-f8215b2cd90d,62e3d71d-bfa4-455a-bc72-9c810fe53eb1,ef4899c4-bfed-4167-8c46-2982a90da36a,4.5,Manyata Tech Park delivery was perfectly packaged. Tomato and coriander were crisp.
e2dbc518-5e05-4031-b662-ba7f3b635a26,d2ee5f06-0a65-4618-96e6-c27bc21be525,4be287a3-4af7-4b0f-93da-1215dbbe7007,4.7,Greens and vegetables were freshly harvested this morning. Unbeatable quality!
4bfd3e26-0129-489c-869c-83bb0dbb80fd,ab1b7d49-94b3-4a3a-aa89-6ff904cccd84,f93c5b61-46df-44b0-a718-571307f2d308,5.0,Genuine organic produce straight from local farmers. Great natural aroma and crispness.
1bbed1d2-0cf3-4811-936b-1bb0edc8c6e5,0235d250-aa7c-4dfb-b553-44b4676cb0a9,300ccb51-269e-4dad-bbd7-bc4d6f1214bf,5.0,Delivered to Bengaluru (Hebbal) within 35 mins from North BLR farm hub! Super fresh.
55265341-638d-4427-9c35-74df0423ff8c,600ad2a1-c479-41cb-ae59-1f480c14eca6,56422f53-2ae2-4b6f-b750-b63ee1e07845,4.8,Genuine organic produce straight from local farmers. Great natural aroma and crispness.
c241fa73-eae1-436c-a0df-1b347fe98c7f,08b13616-624e-429d-8e3b-6fa21d699d46,300ccb51-269e-4dad-bbd7-bc4d6f1214bf,5.0,Delivered to Bengaluru (Hebbal) within 35 mins from North BLR farm hub! Super fresh.
f0be6a3e-2e3c-4c59-808c-1484402e49b4,c1825c45-0d7b-4a7a-8dcb-9551977f9a86,83cf8df8-0344-41ec-a14f-761cb61a2216,4.5,Direct farmgate connection saves money compared to supermarket prices in Srirangapatna.
ad3339fa-5c5f-4135-b74b-3a23b8ffb8aa,c6f3f0c3-6d77-4e67-be13-948cb6aff21e,7da7a7d5-e468-4f10-a91c-c07fd503dc72,5.0,Delivered to Maddur within 35 mins from North BLR farm hub! Super fresh.
21a70dc3-4d3a-44e1-8b44-8608f5dd53f6,62e3d71d-bfa4-455a-bc72-9c810fe53eb1,c10ab049-f2a7-46b2-b4fb-24d4a0618ba0,5.0,Delivered to Bidadi within 35 mins from North BLR farm hub! Super fresh.
