log_id,crop_id,predicted_price,confidence_score
fec5e675-5563-4edb-8702-05f6e359c497,abef6b46-97a3-4d47-847a-0a058895e915,37.51,0.958
25f9c6c6-ba13-44c7-87da-6954d103db50,abef6b46-97a3-4d47-847a-0a058895e915,36.55,0.951
20c2962e-64b9-4952-b98c-6e65ae75a222,abef6b46-97a3-4d47-847a-0a058895e915,36.27,0.953
b93ec550-432c-4dd8-b2b3-701d6b2698e6,abef6b46-97a3-4d47-847a-0a058895e915,36.01,0.968
857eb06c-3f07-44f1-bdbe-57a13b271bd0,abef6b46-97a3-4d47-847a-0a058895e915,36.62,0.975
3042b673-2840-4ae8-8f77-65100bcbcfec,abef6b46-97a3-4d47-847a-0a058895e915,39.04,0.985
5f23b2ea-371f-4155-8cfe-4d5ae69237af,abef6b46-97a3-4d47-847a-0a058895e915,38.71,0.988
83dc901d-d885-4cef-96fd-4b752f4c9605,abef6b46-97a3-4d47-847a-0a058895e915,40.08,0.985
a4d2bd4d-2d59-43e9-96db-e4414987410f,abef6b46-97a3-4d47-847a-0a058895e915,37.21,0.932
84abed97-7a48-4246-af52-ab9ecce67788,abef6b46-97a3-4d47-847a-0a058895e915,38.35,0.96
fec3b290-691e-4713-86c6-2d9235eda922,abef6b46-97a3-4d47-847a-0a058895e915,38.52,0.972
12ed872f-7da6-4c2f-be88-7a63597f8c4e,abef6b46-97a3-4d47-847a-0a058895e915,39.74,0.987
c355445f-1b46-4cb6-b059-6e7f15509b40,2f6f3a77-07d3-4a5d-9422-277b8cb53de2,32.89,0.976
ec2f95fe-02ba-4fbd-8aa3-33005cd7e1b3,2f6f3a77-07d3-4a5d-9422-277b8cb53de2,32.6,0.961
9788c6ec-2331-435e-9449-90b3d96dae03,2f6f3a77-07d3-4a5d-9422-277b8cb53de2,32.54,0.937
808d8faa-f22e-45cb-93ae-dcacbeba8b70,2f6f3a77-07d3-4a5d-9422-277b8cb53de2,32.19,0.937
4736de7e-b5d5-4711-80d6-2017dda11d3b,2f6f3a77-07d3-4a5d-9422-277b8cb53de2,30.72,0.966
888b26bf-03a1-40a5-828d-86874d8eba67,2f6f3a77-07d3-4a5d-9422-277b8cb53de2,32.78,0.937
