listing_id,inventory_id,title,is_organic,rating_avg,rating_count
71052cc8-49f3-422f-be43-de34a2259d59,837099a3-3131-4c60-b80f-d2f22e5b1d48,Fresh Green Chilli - Bengaluru (RR Nagar) Farm Direct,True,4.78,111
10a2f7b5-2629-4dff-b0d1-9d3c4c954908,70ef4300-5935-4170-9275-12a1c8ebc739,Fresh Ginger - Bengaluru (RR Nagar) Farm Direct,False,4.56,45
411761d9-6852-477a-8838-487301c8c845,37a28657-fc48-45c3-bbd3-da696b55e924,Fresh Green Peas - Srirangapatna Farm Direct,False,4.45,153
9ef1d91d-cf40-49eb-9260-13cea31fad19,1530662e-698e-4d67-a6d4-7e355b74e40b,Fresh Mint - Pandavapura Farm Direct,True,4.83,155
eacee681-5685-4706-b16e-0bf681414fbe,e70f78b3-024d-4de7-8646-fba1fd686c79,Fresh Rice - Bengaluru (Kengeri) Farm Direct,False,4.56,49
0ef48ef3-7d47-4f95-93c0-3b5cc71273c0,c933f7cf-f970-4409-8ccd-7847727e801c,Fresh Green Peas - Bengaluru (Kengeri) Farm Direct,False,4.97,172
1b3c4a8b-db3c-47a0-bf6c-b07e358e035a,3530325b-14b5-4f0e-879b-9b5be5aa9cce,Fresh Green Capsicum - Bengaluru (Hebbal) Farm Direct,False,4.77,96
3f85cf21-51b3-4ff1-bcb6-e1e762386094,75203d2c-768a-4526-a6ce-501f8298a6ac,Fresh Mint - Malavalli Farm Direct,False,4.76,63
ddd394f4-7f83-4572-a19b-1683aeddbe47,f623b049-6518-48f6-8006-057c1d4ce794,Fresh Mint - Malavalli Farm Direct,True,4.78,159
6a054225-8f48-4372-aef6-4428edb2c4bb,9582887c-8e0d-49ff-98c5-4ed8682dab6a,Fresh Mint - Bengaluru (Kengeri) Farm Direct,False,4.74,163
9d1653d7-c14d-409f-8b0a-e199ffe4499d,2f36d26d-9526-42e9-a2d6-59dcfaead775,Fresh Green Peas - Ramanagara Farm Direct,True,4.57,29
a7290bdd-22fb-4a4d-a4a4-c2bf75c7ab09,088b907f-55db-4d9b-8e87-4f98c0bb3afc,Fresh Pomegranate - Bengaluru (JP Nagar) Farm Direct,True,4.87,30
e619e35d-2c6a-45f8-9a96-6516579ff2ef,42e42668-1fcf-45ef-8709-87944fef843e,Fresh Pomegranate - Pandavapura Farm Direct,False,4.98,149
cb60bbbe-2069-47d8-b5e7-b3ea327f47f8,8262093b-1024-4186-89af-3036f14bce35,Fresh Carrot - Pandavapura Farm Direct,True,4.43,177
29ccbc90-02c5-4cdd-94aa-a6771263620e,dfb40e2a-4502-463a-a83f-5fb9ed051cc4,Fresh Mint - Bengaluru (Yelahanka) Farm Direct,False,4.71,144
77d21e1a-3f2f-49f2-be52-f1fb6324b498,19473edf-0fa5-407c-bc0f-f1feeba5b79c,Fresh Rice - Channapatna Farm Direct,True,4.81,140
aed45e5c-011b-40b3-8e26-d48a1b7a655d,e6dd0677-9297-4491-a643-ccfb79acaa82,Fresh Ginger - Bengaluru (Indiranagar) Farm Direct,True,4.45,48
7b4b3a0e-209c-4217-9a40-96053b050f60,602b94a0-9a71-421b-aa9b-7f5762ad41d7,Fresh Coriander - Pandavapura Farm Direct,False,4.46,127
472f225e-9fd0-4a31-9d3a-970b74e867a1,827b991e-9075-489d-b0d5-38d66705e677,Fresh Onion - Bengaluru (RR Nagar) Farm Direct,True,4.79,54
