delivery_id,order_id,delivery_agent_name,delivery_status,tracking_code
eba824a9-3a6e-408c-abf3-f7499e4f0176,7814a3bd-c0ac-41d6-b685-606257181026,Sahakarnagar Local QuickRider,DELIVERED,BLR-NORTH-80239
b5b342d3-38b9-41c3-b613-5e81a1489620,4a1dab7f-3c5b-4fa4-8ed7-0f5a059fc0e3,AgriLink Express (Hebbal-Yelahanka Corridor),DELIVERED,BLR-NORTH-45585
4f7fbbe0-31a0-4960-9040-3784d3013fc2,27b46fc8-6edb-4474-b531-35db14badf58,North Bangalore FreshVan Logistics,DELIVERED,BLR-NORTH-54579
f474f72e-45fa-47d4-a330-ff6780656d28,0bcad669-2664-4758-8b04-4b805b06a314,AgriLink Express (Hebbal-Yelahanka Corridor),DELIVERED,BLR-NORTH-78233
82b9a9dc-30bd-4ede-b84b-6c7526ca277d,4e86e1a1-4c7a-4fc1-9d2b-b62d3b095d20,Sahakarnagar Local QuickRider,DELIVERED,BLR-NORTH-42089
e8266d89-e28d-4030-9b55-64580a2e8a8a,5aa628dd-45b5-493a-bb00-08e01ade80cd,AgriLink Express (Hebbal-Yelahanka Corridor),DELIVERED,BLR-NORTH-71039
89dfcfa1-7a4c-4c83-a456-423c69b40cdb,f54799ef-dfcd-4685-a317-b345d54879b3,Manyata Express Cargo Rider,DELIVERED,BLR-NORTH-72737
379b678b-7f31-41cf-a02c-f71b3b496f0b,8fa74ae3-9cc0-4089-9ca7-b482474a3977,Devanahalli Farm Direct Fleet,DELIVERED,BLR-NORTH-18658
0cde2e75-b6f0-4fe1-8b99-0b0054049f8e,d1fc121c-6529-4a63-8684-450fdbba0a09,Devanahalli Farm Direct Fleet,DELIVERED,BLR-NORTH-52914
54d9032f-6b7a-49f8-864a-d01c0dd0e769,c00afd0d-5174-4b1a-bafa-39f2a3932611,Devanahalli Farm Direct Fleet,DELIVERED,BLR-NORTH-55123
78236804-5198-4e91-9ec6-afbeee69621a,bcae986d-14f3-4003-910f-d02054afd1af,North Bangalore FreshVan Logistics,DELIVERED,BLR-NORTH-66585
9f9a462b-1dba-44bf-8b0c-c2782b03a10e,df1dbd28-6166-4183-a602-b35b9c0b745b,North Bangalore FreshVan Logistics,DELIVERED,BLR-NORTH-73792
2437aaa1-61fb-4ab6-b3c7-834ec6a553b1,f55ee903-f697-41cd-8292-d8ac7cd97ff3,North Bangalore FreshVan Logistics,DELIVERED,BLR-NORTH-78997
ad299869-07c4-48cb-8569-dc1d66f72f9b,e6a31d97-4e46-4b44-acdf-ed876d1f0d41,Devanahalli Farm Direct Fleet,DELIVERED,BLR-NORTH-85778
cdc7ca64-6922-4f78-810d-c25ba0362e66,c4368b4d-1065-4324-bfd1-73e63d4e55a7,Manyata Express Cargo Rider,DELIVERED,BLR-NORTH-21062
6c2bc4ae-f73a-4abd-95bb-d80cd5bc2961,e631ebef-71b0-4b69-94dc-5231eb5dc94f,Manyata Express Cargo Rider,DELIVERED,BLR-NORTH-29025
a71510f2-4a24-4e09-ba02-08c18ceade8c,7ef31c51-e64d-4294-b3a8-9e752da7096e,Manyata Express Cargo Rider,DELIVERED,BLR-NORTH-81776
8781b185-9452-4f3a-9a5a-0ec086f61044,3be62aea-ef86-4fa3-ba6a-ead0ac4b981d,North Bangalore FreshVan Logistics,DELIVERED,BLR-NORTH-24528
ea8d6e34-b9cb-4da7-a509-bc72db53a777,83d60ef6-5dc5-4211-b905-9f52d97eb607,Devanahalli Farm Direct Fleet,DELIVERED,BLR-NORTH-38624
e293ea6b-98bc-48d9-961d-f2b14e112513,c70d32c3-0a25-4c2a-a6cb-5d8a82fe3d3a,Sahakarnagar Local QuickRider,DELIVERED,BLR-NORTH-39602
1b475169-4308-41a6-8e22-0f04c64b53df,f0e1f08a-d6a2-4e62-8482-c16c53fc5fd4,Manyata Express Cargo Rider,DELIVERED,BLR-NORTH-73766
e0bb389d-d1ac-4c89-91ce-e9bb7cd26f7c,eb40eb10-64a5-4ac3-bf42-e750d33dc504,Devanahalli Farm Direct Fleet,DELIVERED,BLR-NORTH-25491
a74f2275-72f7-41af-bb63-d9d1a7393958,b2171627-358d-4be4-bf8b-baad599e36d5,AgriLink Express (Hebbal-Yelahanka Corridor),DELIVERED,BLR-NORTH-69793
fbe71172-7ad7-4371-90d1-4b3af36a7a8c,9d5ee820-6174-466f-bff8-e640955fa897,North Bangalore FreshVan Logistics,DELIVERED,BLR-NORTH-23102
19165947-0e54-45f4-bb2b-9d490cd47570,cda6c357-2d90-4b95-85a8-31cecdc01b78,Sahakarnagar Local QuickRider,DELIVERED,BLR-NORTH-69037
6b7866f3-93e4-4c10-8cef-c441caa5bd25,f04a7435-6978-4fe1-a898-73f15ee54820,North Bangalore FreshVan Logistics,DELIVERED,BLR-NORTH-70845
8c5f261e-54d7-47b5-9467-330327c61560,2fa04a2e-9d82-45c6-b6e7-c5b00a1d6bbc,North Bangalore FreshVan Logistics,DELIVERED,BLR-NORTH-30715
7da3c4ca-8b79-4ce8-9272-3d546025acab,62ebd67a-0e48-4cb0-97a8-e175c7d26faa,Sahakarnagar Local QuickRider,DELIVERED,BLR-NORTH-69636
08d95a4b-0f46-4fbc-9d33-7ebc74d3ac2f,9888977b-ba25-4fed-bf70-f21f0160e70b,North Bangalore FreshVan Logistics,DELIVERED,BLR-NORTH-85775
76f7c424-8787-4d56-b33d-d3c0e0078187,80406585-8dc7-41a2-96d4-946b1fdc44dc,Devanahalli Farm Direct Fleet,DELIVERED,BLR-NORTH-74918
