inventory_id,farmer_id,crop_id,quantity,price_per_unit,grade,harvest_date,status
837099a3-3131-4c60-b80f-d2f22e5b1d48,6923de22-4eb3-4755-943a-b79bd8080890,653ff738-2173-4c0d-9619-2be06db39e8c,2162.28,39.36,B,2026-09-06,AVAILABLE
70ef4300-5935-4170-9275-12a1c8ebc739,9913ea9d-f93d-4515-b99f-ca6dba4d5fe1,6bd8ceef-eebc-4d0b-8d12-2dd14c109468,391.13,72.38,B,2026-09-01,AVAILABLE
37a28657-fc48-45c3-bbd3-da696b55e924,c3a34d28-bd0b-410e-8dd4-0c7f3462f3b3,55048485-b49a-41a8-831b-42e14f8ce5f9,1338.46,76.28,B,2026-08-25,AVAILABLE
1530662e-698e-4d67-a6d4-7e355b74e40b,666dc0b8-40a6-4ccb-b64f-53f92c033f9e,b64ca3f8-fd63-4652-b8ab-d082ef554f58,2602.06,17.07,B,2026-08-28,AVAILABLE
e70f78b3-024d-4de7-8646-fba1fd686c79,cc1ac55f-3cd2-4299-9ddf-0358d31a94ed,7324117d-fdfd-4313-8e9c-1e922f46ed4f,1601.63,71.78,A,2026-09-05,AVAILABLE
c933f7cf-f970-4409-8ccd-7847727e801c,60f93b9f-6840-4ea1-b553-8b6d86e4a65a,55048485-b49a-41a8-831b-42e14f8ce5f9,1349.25,73.22,A+,2026-08-26,AVAILABLE
3530325b-14b5-4f0e-879b-9b5be5aa9cce,c538d323-4b74-4d7c-b4ec-02dfddd70fff,c7ebf4b8-4f50-4c0a-9816-6a6769943bce,1416.96,57.89,B,2026-09-10,AVAILABLE
75203d2c-768a-4526-a6ce-501f8298a6ac,c6a7d3ce-dc43-4b1f-9ce8-130d962cfa83,b64ca3f8-fd63-4652-b8ab-d082ef554f58,1337.4,21.94,A,2026-08-22,AVAILABLE
f623b049-6518-48f6-8006-057c1d4ce794,97d838df-84e5-4eb0-910f-c216c692e28b,b64ca3f8-fd63-4652-b8ab-d082ef554f58,598.7,19.39,A+,2026-08-31,AVAILABLE
9582887c-8e0d-49ff-98c5-4ed8682dab6a,cc1ac55f-3cd2-4299-9ddf-0358d31a94ed,b64ca3f8-fd63-4652-b8ab-d082ef554f58,1178.08,21.9,A+,2026-08-29,AVAILABLE
2f36d26d-9526-42e9-a2d6-59dcfaead775,1310acb9-0418-4094-b51a-f6a258612ebb,55048485-b49a-41a8-831b-42e14f8ce5f9,2070.6,76.13,A,2026-08-27,AVAILABLE
088b907f-55db-4d9b-8e87-4f98c0bb3afc,d956a195-1e33-4bf7-8025-8419aed54698,f1ad8b2f-18d6-4dff-a217-b1353e48b40d,486.4,122.31,A,2026-09-02,AVAILABLE
