order_item_id,order_id,listing_id,quantity,unit_price
6a3c8ac6-83e4-4c70-b3d5-76516400cef4,7814a3bd-c0ac-41d6-b685-606257181026,48c05eff-6a2c-4517-9f87-23a6d289b906,1.62,33.88
f2c61170-1d1a-4202-aac4-d0d82ad9c0f3,7814a3bd-c0ac-41d6-b685-606257181026,14be1626-52a6-4663-a86f-3e63efc5b7f1,2.85,38.65
9cfd9644-d62b-407f-b1b3-fbc5f4566bab,7814a3bd-c0ac-41d6-b685-606257181026,d848e305-da92-42ae-a09b-220a4628adde,4.34,34.82
8330cee1-32e4-41a4-b35c-720c8804e6a2,4a1dab7f-3c5b-4fa4-8ed7-0f5a059fc0e3,48c05eff-6a2c-4517-9f87-23a6d289b906,2.36,33.88
7d5bcc6b-cc74-4401-b50e-9514211cbe1f,4a1dab7f-3c5b-4fa4-8ed7-0f5a059fc0e3,ff6ed914-1af0-4743-a219-3c47dd0455f8,3.28,47.73
b62dd04c-9979-446e-9455-aa56f94cdc8b,4a1dab7f-3c5b-4fa4-8ed7-0f5a059fc0e3,798ae4e6-fad9-4806-8971-c892a9483220,4.46,27.32
87c40ec0-97b0-4b5a-ba6d-b528a3a58d33,27b46fc8-6edb-4474-b531-35db14badf58,48c05eff-6a2c-4517-9f87-23a6d289b906,1.7,33.88
d9a2931f-477c-4088-898b-936035a570dc,27b46fc8-6edb-4474-b531-35db14badf58,ff6ed914-1af0-4743-a219-3c47dd0455f8,4.65,47.73
37aaed13-a09c-4fbe-b519-7411badf816d,27b46fc8-6edb-4474-b531-35db14badf58,2cc864b2-ffcd-4cd9-96ea-35cc70b7f01e,4.2,34.73
468a42d9-3440-4ce7-add7-53d95230b7d7,0bcad669-2664-4758-8b04-4b805b06a314,90d08764-413b-4792-ac7f-41915db7fab3,3.71,40.94
3bc6aad5-7503-403d-b13b-355bf0264f84,0bcad669-2664-4758-8b04-4b805b06a314,fc99c491-28ac-40fc-bd3b-edf6d3a3588b,2.55,44.42
89afee42-ebb9-48f0-89dc-427ff3165bf0,0bcad669-2664-4758-8b04-4b805b06a314,1fb51520-9238-438a-b8e4-17a7803354a7,4.73,51.23
078f979a-1804-4038-a97e-b7a753b30d5d,0bcad669-2664-4758-8b04-4b805b06a314,3d9f95b7-246a-4a03-b972-3edf5dc69656,2.74,19.45
10929925-2d7a-4d98-850b-c96dfc3008fa,4e86e1a1-4c7a-4fc1-9d2b-b62d3b095d20,f2b7b5ef-c8f7-4c34-93ed-2e35f3c536c1,3.13,38.0
692cd3e8-4402-4044-ac56-1a7a565f8939,4e86e1a1-4c7a-4fc1-9d2b-b62d3b095d20,3a552307-6f65-4c3a-a54d-d271c022e93b,1.6,38.15
72c5717c-be39-4ad3-80f9-05026c2afdad,4e86e1a1-4c7a-4fc1-9d2b-b62d3b095d20,33b8b450-7c1f-41ce-878c-fb991290c907,1.83,49.25
794bb1c1-9aa9-456a-bb43-754bea9dea29,4e86e1a1-4c7a-4fc1-9d2b-b62d3b095d20,6f413aea-b761-4f53-83cc-8909734ca65f,1.54,18.94
92e70af8-b643-4a06-af4e-bacbcaac7d06,5aa628dd-45b5-493a-bb00-08e01ade80cd,f2b7b5ef-c8f7-4c34-93ed-2e35f3c536c1,4.61,38.0
7352c974-aab6-4407-b7c7-e2fa5b942dd3,5aa628dd-45b5-493a-bb00-08e01ade80cd,3a552307-6f65-4c3a-a54d-d271c022e93b,2.71,38.15
da7b5ee9-26c8-43c3-85bd-bd48a2e96e33,5aa628dd-45b5-493a-bb00-08e01ade80cd,33b8b450-7c1f-41ce-878c-fb991290c907,3.47,49.25
7136882b-6b9b-4177-8304-c14ac054cdba,5aa628dd-45b5-493a-bb00-08e01ade80cd,9343e411-1342-4af6-b84c-49ab26ee23f0,2.43,17.66
5c374080-2710-477e-acae-d39b7067e72c,f54799ef-dfcd-4685-a317-b345d54879b3,f2b7b5ef-c8f7-4c34-93ed-2e35f3c536c1,2.88,38.0
d70f730d-ca2c-4161-8b14-9ce1cad30f44,f54799ef-dfcd-4685-a317-b345d54879b3,3a552307-6f65-4c3a-a54d-d271c022e93b,4.65,38.15
aedc84a2-c3c3-4d14-834d-9cc91dacd244,f54799ef-dfcd-4685-a317-b345d54879b3,36ac1cb7-c55e-46e9-bdbf-67db44692a6b,4.16,47.76
2459751e-8d48-415d-86bb-c7a27b8669e5,f54799ef-dfcd-4685-a317-b345d54879b3,0de12161-675e-4cbb-96b4-0107237dd341,1.98,17.19
6a404d70-8a0f-4adb-af66-168142daa834,8fa74ae3-9cc0-4089-9ca7-b482474a3977,19d09fa0-c8b2-4b5c-b5a6-7efe29934bd0,1.81,23.82
7070a191-95ff-4311-8786-ace52d062549,8fa74ae3-9cc0-4089-9ca7-b482474a3977,86cea29e-ba3e-4d48-83e6-50fc57051a44,2.3,59.76
860f1545-b650-440d-8805-4407629f15ae,8fa74ae3-9cc0-4089-9ca7-b482474a3977,0994cb89-90be-4944-806b-eeefe4d6eabb,2.21,41.4
60a5f7af-f52a-45ae-901d-314f1b219e64,8fa74ae3-9cc0-4089-9ca7-b482474a3977,f2ae0ff7-611d-4a23-b1ee-97688a2701e7,3.48,28.85
4086f13a-a213-4dbc-a441-395e207bfa8c,d1fc121c-6529-4a63-8684-450fdbba0a09,5ac74607-116b-439d-bc3c-14d60fbbf3c9,3.78,41.06
7c42c60f-6767-4098-b888-c786c550cc0f,d1fc121c-6529-4a63-8684-450fdbba0a09,aafb59e7-4643-44a7-be97-2be664e18e79,1.46,40.54
a2df3541-037c-4d21-a7aa-06d8a00dff7a,d1fc121c-6529-4a63-8684-450fdbba0a09,33b8b450-7c1f-41ce-878c-fb991290c907,4.29,49.25
13989b81-8016-4c68-9c27-27dd67cc11d0,d1fc121c-6529-4a63-8684-450fdbba0a09,32fc637e-f9fe-4fc6-9e2a-675ee8c4feee,1.14,18.76
654822dd-e844-47e1-9a25-dc41396623f5,c00afd0d-5174-4b1a-bafa-39f2a3932611,0c04e9e0-bb76-47a7-a14d-f2eff4f256d8,2.06,27.65
b6e55b62-1137-497d-bf93-f86ebd9f47b7,c00afd0d-5174-4b1a-bafa-39f2a3932611,ef03f9f5-d4ae-43ae-9c98-2b1ac1e2bf87,2.79,60.6
b00167f8-cf96-493d-9f6a-97ced36d2e0c,c00afd0d-5174-4b1a-bafa-39f2a3932611,34119d47-c8c2-4772-b53c-97c701be9620,2.2,53.06
60a160cd-ca98-40d2-b78f-3820f61b525e,bcae986d-14f3-4003-910f-d02054afd1af,c72fff1a-1cca-48c8-8569-0e230d5647fd,1.74,27.88
4a5a2135-3f54-4ec8-a011-9ef7a8568ffe,bcae986d-14f3-4003-910f-d02054afd1af,469de709-3edd-4ecf-b373-98a004b5f3ae,1.0,61.29
532a2941-76e8-48eb-98da-2099420c70d0,bcae986d-14f3-4003-910f-d02054afd1af,34119d47-c8c2-4772-b53c-97c701be9620,1.44,53.06
325a0c5b-f7c8-4bae-aa3d-75e2b08ead7b,df1dbd28-6166-4183-a602-b35b9c0b745b,eeefd9b6-1b40-41ed-ba70-4f51c247226a,1.95,22.23
27925ef4-0b18-4a26-ae74-d0ee3c78289d,df1dbd28-6166-4183-a602-b35b9c0b745b,4cc80ba9-1884-4b13-8df8-b093b3882660,4.37,59.94
21631977-5b23-46d7-bded-34a23b1a8f45,df1dbd28-6166-4183-a602-b35b9c0b745b,16d265ed-77a0-4a24-afb5-719cba043ada,1.62,47.75
9cf7f5f3-e044-4752-8ffd-d40d5eee5891,df1dbd28-6166-4183-a602-b35b9c0b745b,4db9e4de-ce3d-41d7-bdf4-3931e7243df5,1.54,76.83
7407e069-1bcb-4cfb-ae00-f37f11859ed8,f55ee903-f697-41cd-8292-d8ac7cd97ff3,c8ab7e01-9ce6-44bf-9bcc-a325e05802a4,1.72,41.38
3b58bb46-a42e-42ab-9e61-6816d9c567e7,f55ee903-f697-41cd-8292-d8ac7cd97ff3,ada3490e-9d0d-41c5-b8f6-ee36f232a592,2.54,40.7
1f56510c-668e-48cd-85dd-3f8853254d7c,f55ee903-f697-41cd-8292-d8ac7cd97ff3,73ba2336-7a3c-47ec-af09-dc36f47b00fc,3.31,93.05
b4d8b903-5fc3-417d-8f96-74d8b660670c,f55ee903-f697-41cd-8292-d8ac7cd97ff3,28e011b1-cf12-42d0-8034-c80656e0c0d5,2.08,112.53
a08bd427-b8b2-4388-8f5c-8ec935f702b0,f55ee903-f697-41cd-8292-d8ac7cd97ff3,5a442680-9fef-499c-825c-bcbe3ceaedb7,1.73,20.08
28f27240-5deb-4eef-adaf-40cbb93e491d,f55ee903-f697-41cd-8292-d8ac7cd97ff3,a4ef8596-5999-4b27-a3fe-44558bcaa2df,1.45,74.5
