location_id,address_line1,city,state,pincode,country,latitude,longitude
13fbc212-fa86-499e-a7ce-b7ff1e672da4,"No. 240, Mandya Sugar Town Agro Depot",Karnataka (Mandya),Karnataka,571401,India,12.5154,76.8944
44024d53-fc4b-4622-88b2-54c33d55a8fd,"No. 570, Shimsha River Basin Depot, Maddur",Karnataka (Maddur),Karnataka,571428,India,12.587784,77.047827
b6ab034f-27d3-4459-9753-73089955f94b,"No. 107, Kaveri River Bank Farm Cluster",Karnataka (Srirangapatna),Karnataka,571438,India,12.419448,76.687509
a96689a6-ac68-4de1-adcc-7fa7140971e8,"No. 586, Melukote Foothills Farm Gate",Karnataka (Pandavapura),Karnataka,571434,India,12.495723,76.671632
161c8dc6-3668-4a8a-9feb-2a067189b548,"No. 441, Marehalli Green Belt Depot, Malavalli",Karnataka (Malavalli),Karnataka,571430,India,12.390456,77.063221
06423e96-dc44-4c70-97d6-9f2ee560e4e6,"No. 18, Ramanagara Expressway Agro Transit Hub",Karnataka (Ramanagara),Karnataka,562159,India,12.719187,77.276451
21eccb01-12df-464b-b052-ffeb0975cfff,"No. 171, Channapatna Highway Consolidation Center",Karnataka (Channapatna),Karnataka,562160,India,12.65317,77.197444
ceee8f7b-aa5c-4d6b-a0cf-139679b1fc3e,"No. 106, Bidadi Expressway Logistics Center",Karnataka (Bidadi),Karnataka,562109,India,12.802315,77.377386
4352ad5d-8dd7-4b0a-a454-105390cbbc85,"No. 630, Mysore Road Express Drop Point",Bengaluru (Kengeri),Karnataka,560060,India,12.903547,77.49056
b77f3b51-6b79-47a8-a1a1-b8ca4995c5f3,"No. 561, BEML Layout Delivery Center",Bengaluru (RR Nagar),Karnataka,560098,India,12.929914,77.521676
cc31069d-510b-4485-96c6-3d554f0f93c0,"No. 577, JP Nagar 6th Phase Consumer Delivery Hub",Bengaluru (JP Nagar),Karnataka,560078,India,12.91357,77.583057
4e27a5e5-72bb-4abd-acd7-e544ad672ac3,"No. 382, Defence Colony Drop Point",Bengaluru (Indiranagar),Karnataka,560038,India,12.98327,77.641896
db81df0d-0385-42ad-96dc-2602f1ae6870,"No. 245, 4th Block Koramangala Delivery Hub",Bengaluru (Koramangala),Karnataka,560034,India,12.938273,77.612733
7cfa432f-b2ab-4cec-bff6-9bef1020bce0,"No. 115, Kempapura Main Road, Hebbal",Bengaluru (Hebbal),Karnataka,560024,India,13.043564,77.602685
b9534d3d-3edd-40f0-ae93-6aad2c6a1816,"No. 385, Kogilu Main Road Organic Depot",Bengaluru (Yelahanka),Karnataka,560064,India,13.096948,77.598471
b8f50ce6-446d-4940-8b83-4b6f9d65ef95,"No. 285, Kallalli Farm Gate, Mandya",Karnataka (Mandya),Karnataka,571401,India,12.520923,76.893352
a9282b94-109c-449b-af27-dbb6d4ce8d0a,"No. 758, Maddur Tender Coconut and Veg Hub",Karnataka (Maddur),Karnataka,571428,India,12.585746,77.039738
976760b6-e7f8-4686-899c-3707dada1da2,"No. 667, Ganjam Agro Center, Srirangapatna",Karnataka (Srirangapatna),Karnataka,571438,India,12.412614,76.693071
5ff6c1b6-24f9-4fc1-b058-c5db55730125,"No. 806, Melukote Foothills Farm Gate",Karnataka (Pandavapura),Karnataka,571434,India,12.502954,76.675486
b46042e1-94c8-4586-b854-8ae87b6760d4,"No. 335, Marehalli Green Belt Depot, Malavalli",Karnataka (Malavalli),Karnataka,571430,India,12.382665,77.052514
ef1e6061-8738-4abe-8efd-59a4cb2a0455,"No. 592, Silk City Corridor Staging Center",Karnataka (Ramanagara),Karnataka,562159,India,12.716284,77.275376
c2fb3ea6-e554-4e32-a11b-5272282d67ef,"No. 670, Toy City Corridor Pooling Depot",Karnataka (Channapatna),Karnataka,562160,India,12.645402,77.199988
b3486b3c-43ac-4100-93eb-646d3f227820,"No. 774, Corridor Express Transfer Point, Bidadi",Karnataka (Bidadi),Karnataka,562109,India,12.789286,77.374234
ce9611b0-871a-43e3-a969-95d2c3d3f594,"No. 609, Mysore Road Express Drop Point",Bengaluru (Kengeri),Karnataka,560060,India,12.913952,77.483855
5d74524d-6c3f-4dd7-ae9c-17f33c973e16,"No. 153, BEML Layout Delivery Center",Bengaluru (RR Nagar),Karnataka,560098,India,12.922792,77.525957
1f05724b-c65d-4f92-be9f-0727d6f4afff,"No. 124, Dollars Colony Delivery Drop",Bengaluru (JP Nagar),Karnataka,560078,India,12.899455,77.577754
c2a3c932-50e4-49b7-b6fc-63cbf93e26bd,"No. 444, 100 Feet Road Delivery Hub, Indiranagar",Bengaluru (Indiranagar),Karnataka,560038,India,12.980039,77.644673
6c1d8592-bdfc-468f-aa24-143280838b4e,"No. 491, 4th Block Koramangala Delivery Hub",Bengaluru (Koramangala),Karnataka,560034,India,12.933156,77.621534
6087b176-9d67-4d80-a476-3f0e44a2e9eb,"No. 23, Kempapura Main Road, Hebbal",Bengaluru (Hebbal),Karnataka,560024,India,13.043337,77.602772
1c3df6d9-543c-467d-b533-51c7b5d5a12d,"No. 285, Sector 1, Yelahanka New Town",Bengaluru (Yelahanka),Karnataka,560064,India,13.103407,77.596892
c66559d8-db0d-466c-9910-29872216ac14,"No. 476, Holalu Organic Vegetable Cluster",Karnataka (Mandya),Karnataka,571401,India,12.516785,76.896956
6018b0fd-df7b-4c03-899a-c8cc7201793c,"No. 281, Maddur Tender Coconut and Veg Hub",Karnataka (Maddur),Karnataka,571428,India,12.591261,77.051014
e0196e41-ba19-4d13-8df4-6760cebe8bbf,"No. 652, Ganjam Agro Center, Srirangapatna",Karnataka (Srirangapatna),Karnataka,571438,India,12.418123,76.688703
024ae1c5-8595-47f8-a6aa-d4e62638422a,"No. 215, Baby Betta Organic Farm Depot, Pandavapura",Karnataka (Pandavapura),Karnataka,571434,India,12.505467,76.670123
088bbc66-c41d-4be8-aa03-edc7a095849b,"No. 809, Marehalli Green Belt Depot, Malavalli",Karnataka (Malavalli),Karnataka,571430,India,12.384983,77.054585
f0378097-9dd5-4de3-ab89-c015e9797997,"No. 126, Ramanagara Expressway Agro Transit Hub",Karnataka (Ramanagara),Karnataka,562159,India,12.721583,77.279818
86bb78aa-f89a-45b3-9d0b-9e381988c857,"No. 326, Toy City Corridor Pooling Depot",Karnataka (Channapatna),Karnataka,562160,India,12.65606,77.205307
9149ad34-73c3-4543-b6dd-4ca74bdec3b1,"No. 92, Bidadi Expressway Logistics Center",Karnataka (Bidadi),Karnataka,562109,India,12.787927,77.386048
49852634-60bb-4b2a-a82f-ef4d48835087,"No. 790, Kengeri Satellite Town Delivery Hub",Bengaluru (Kengeri),Karnataka,560060,India,12.913711,77.490056
4ea13f7c-0cbc-4022-b9f8-68ea705d418d,"No. 574, Rajarajeshwari Nagar Ideal Homes Drop Point",Bengaluru (RR Nagar),Karnataka,560098,India,12.919054,77.517605
1c76eb5f-e20d-46b5-a6dc-9bb1a9c5b578,"No. 445, JP Nagar 6th Phase Consumer Delivery Hub",Bengaluru (JP Nagar),Karnataka,560078,India,12.902241,77.590959
3a69cece-d091-41b9-990f-747a4ee77301,"No. 718, 100 Feet Road Delivery Hub, Indiranagar",Bengaluru (Indiranagar),Karnataka,560038,India,12.984863,77.644084
382521ad-0ad9-492d-8c9c-56dd781fa941,"No. 699, 4th Block Koramangala Delivery Hub",Bengaluru (Koramangala),Karnataka,560034,India,12.938407,77.618384
3bfa6aa5-b95f-45c4-8d51-da45a04864bc,"No. 135, Kempapura Main Road, Hebbal",Bengaluru (Hebbal),Karnataka,560024,India,13.03481,77.597281
d430e2c2-20af-41b1-814b-7f5361c2bfaf,"No. 614, Sector 1, Yelahanka New Town",Bengaluru (Yelahanka),Karnataka,560064,India,13.096095,77.593709
78fa4c76-acf7-4e60-a1dc-6a9277ff8117,"No. 84, Lakshmi SHG Homemaker Depot, Mandya",Karnataka (Mandya),Karnataka,571401,India,12.518682,76.893523
cc856c7e-4e1e-489e-b84b-5402bd7830c6,"No. 350, Maddur Tender Coconut and Veg Hub",Karnataka (Maddur),Karnataka,571428,India,12.579663,77.051487
75e29888-e9c0-4cb6-9a88-72c144a3f0f8,"No. 509, Kaveri River Bank Farm Cluster",Karnataka (Srirangapatna),Karnataka,571438,India,12.418226,76.691456
3f966ae3-ccb1-4124-99dc-3373149c4429,"No. 596, Melukote Foothills Farm Gate",Karnataka (Pandavapura),Karnataka,571434,India,12.500628,76.673574
