interaction_id,customer_id,listing_id,interaction_type,interaction_weight,created_at
acee0722-9b99-4e6a-881d-ddfd4aaf17c8,415c5186-549e-44e9-9132-6d158175f5c1,48c05eff-6a2c-4517-9f87-23a6d289b906,PURCHASE,10.0,2026-08-11T21:52:01.488479
57ad915d-579f-43da-abee-290d89014da9,415c5186-549e-44e9-9132-6d158175f5c1,14be1626-52a6-4663-a86f-3e63efc5b7f1,PURCHASE,10.0,2026-08-11T21:52:01.488479
2a5f020b-dcd3-4716-b0fd-7c937c5324bf,415c5186-549e-44e9-9132-6d158175f5c1,d848e305-da92-42ae-a09b-220a4628adde,PURCHASE,10.0,2026-08-11T21:52:01.488479
62542414-af15-4ad3-aed3-cc721882dad0,415c5186-549e-44e9-9132-6d158175f5c1,d848e305-da92-42ae-a09b-220a4628adde,ADD_TO_CART,5.0,2026-08-11T21:52:01.488479
ad036362-ad84-4194-96bd-24a62f3055b4,415c5186-549e-44e9-9132-6d158175f5c1,48c05eff-6a2c-4517-9f87-23a6d289b906,PURCHASE,10.0,2026-08-24T19:52:01.488479
70d773b3-8951-4c80-987a-0be0aa6a0446,415c5186-549e-44e9-9132-6d158175f5c1,48c05eff-6a2c-4517-9f87-23a6d289b906,ADD_TO_CART,5.0,2026-08-24T19:52:01.488479
363716c5-d3fb-42de-9bb0-8698673ce610,415c5186-549e-44e9-9132-6d158175f5c1,ff6ed914-1af0-4743-a219-3c47dd0455f8,PURCHASE,10.0,2026-08-24T19:52:01.488479
543b432e-5dad-4f49-9a75-bd1bbd989af9,415c5186-549e-44e9-9132-6d158175f5c1,ff6ed914-1af0-4743-a219-3c47dd0455f8,ADD_TO_CART,5.0,2026-08-24T19:52:01.488479
448aca1d-c26e-40df-a841-2e191883d269,415c5186-549e-44e9-9132-6d158175f5c1,798ae4e6-fad9-4806-8971-c892a9483220,PURCHASE,10.0,2026-08-24T19:52:01.488479
c692e7fb-2fcf-4544-a33c-381c99da1170,415c5186-549e-44e9-9132-6d158175f5c1,48c05eff-6a2c-4517-9f87-23a6d289b906,PURCHASE,10.0,2026-08-27T17:52:01.488479
cc1fd49a-5459-4a3c-87a9-8dcb67c5de30,415c5186-549e-44e9-9132-6d158175f5c1,48c05eff-6a2c-4517-9f87-23a6d289b906,ADD_TO_CART,5.0,2026-08-27T17:52:01.488479
b7919375-5f44-4ba1-b9f9-b6561cc79a84,415c5186-549e-44e9-9132-6d158175f5c1,ff6ed914-1af0-4743-a219-3c47dd0455f8,PURCHASE,10.0,2026-08-27T17:52:01.488479
80138e2e-fd1c-4273-96b8-5fcd82884c3b,415c5186-549e-44e9-9132-6d158175f5c1,2cc864b2-ffcd-4cd9-96ea-35cc70b7f01e,PURCHASE,10.0,2026-08-27T17:52:01.488479
bd609b14-832b-48b6-a171-2b04855df4e9,415c5186-549e-44e9-9132-6d158175f5c1,90d08764-413b-4792-ac7f-41915db7fab3,PURCHASE,10.0,2026-09-04T20:52:01.488479
f61930ce-8305-40a7-894e-f4af4d4a1e8a,415c5186-549e-44e9-9132-6d158175f5c1,90d08764-413b-4792-ac7f-41915db7fab3,ADD_TO_CART,5.0,2026-09-04T20:52:01.488479
54f09cd4-7afa-4284-87f9-3b06a78f24e2,415c5186-549e-44e9-9132-6d158175f5c1,fc99c491-28ac-40fc-bd3b-edf6d3a3588b,PURCHASE,10.0,2026-09-04T20:52:01.488479
dfefbbfc-8bac-431d-b597-90f0c3357f83,415c5186-549e-44e9-9132-6d158175f5c1,1fb51520-9238-438a-b8e4-17a7803354a7,PURCHASE,10.0,2026-09-04T20:52:01.488479
6da275df-4353-4427-b6a8-17fd6e758ecf,415c5186-549e-44e9-9132-6d158175f5c1,3d9f95b7-246a-4a03-b972-3edf5dc69656,PURCHASE,10.0,2026-09-04T20:52:01.488479
ee450edb-ebde-4ab6-bfc2-f0d93e7ffbc6,415c5186-549e-44e9-9132-6d158175f5c1,3d9f95b7-246a-4a03-b972-3edf5dc69656,ADD_TO_CART,5.0,2026-09-04T20:52:01.488479
a829fa21-3f4d-47d4-99db-500679880df5,7da7a7d5-e468-4f10-a91c-c07fd503dc72,f2b7b5ef-c8f7-4c34-93ed-2e35f3c536c1,PURCHASE,10.0,2026-08-15T18:52:01.488479
1a438c1a-d745-4360-9df4-efaccbbadac9,7da7a7d5-e468-4f10-a91c-c07fd503dc72,3a552307-6f65-4c3a-a54d-d271c022e93b,PURCHASE,10.0,2026-08-15T18:52:01.488479
53506a31-580d-4563-95ed-7f6366d1c14b,7da7a7d5-e468-4f10-a91c-c07fd503dc72,3a552307-6f65-4c3a-a54d-d271c022e93b,ADD_TO_CART,5.0,2026-08-15T18:52:01.488479
10038b8b-12c2-4c6d-9637-2bc6254030b1,7da7a7d5-e468-4f10-a91c-c07fd503dc72,33b8b450-7c1f-41ce-878c-fb991290c907,PURCHASE,10.0,2026-08-15T18:52:01.488479
ace67dd0-9539-4864-85a3-04c915144ac2,7da7a7d5-e468-4f10-a91c-c07fd503dc72,33b8b450-7c1f-41ce-878c-fb991290c907,ADD_TO_CART,5.0,2026-08-15T18:52:01.488479
e9da7214-7416-4050-a551-a4d6a9da071b,7da7a7d5-e468-4f10-a91c-c07fd503dc72,6f413aea-b761-4f53-83cc-8909734ca65f,PURCHASE,10.0,2026-08-15T18:52:01.488479
9af4ad3d-7d0c-4900-b226-9e2ae814db84,7da7a7d5-e468-4f10-a91c-c07fd503dc72,f2b7b5ef-c8f7-4c34-93ed-2e35f3c536c1,PURCHASE,10.0,2026-08-15T21:52:01.488479
7735a8c9-c4ac-4dc0-85d7-2ef8f2fdd6d6,7da7a7d5-e468-4f10-a91c-c07fd503dc72,f2b7b5ef-c8f7-4c34-93ed-2e35f3c536c1,ADD_TO_CART,5.0,2026-08-15T21:52:01.488479
9e41f3a2-4524-47d6-be66-092ae26e60df,7da7a7d5-e468-4f10-a91c-c07fd503dc72,3a552307-6f65-4c3a-a54d-d271c022e93b,PURCHASE,10.0,2026-08-15T21:52:01.488479
bff3deae-aad9-4eb3-8435-41ad80cc1efe,7da7a7d5-e468-4f10-a91c-c07fd503dc72,3a552307-6f65-4c3a-a54d-d271c022e93b,ADD_TO_CART,5.0,2026-08-15T21:52:01.488479
5de0728d-772b-4309-9331-fa9ef9fd7111,7da7a7d5-e468-4f10-a91c-c07fd503dc72,33b8b450-7c1f-41ce-878c-fb991290c907,PURCHASE,10.0,2026-08-15T21:52:01.488479
877a861e-744f-4704-8502-fed952638aeb,7da7a7d5-e468-4f10-a91c-c07fd503dc72,33b8b450-7c1f-41ce-878c-fb991290c907,ADD_TO_CART,5.0,2026-08-15T21:52:01.488479
8eb1ad95-8588-4606-af6d-bc8483a160dd,7da7a7d5-e468-4f10-a91c-c07fd503dc72,9343e411-1342-4af6-b84c-49ab26ee23f0,PURCHASE,10.0,2026-08-15T21:52:01.488479
aef76049-ca67-4bc8-a818-59b201a65a08,7da7a7d5-e468-4f10-a91c-c07fd503dc72,f2b7b5ef-c8f7-4c34-93ed-2e35f3c536c1,PURCHASE,10.0,2026-08-21T14:52:01.488479
4920bb44-d6a2-4e0b-8b61-b4ef4f56f5c0,7da7a7d5-e468-4f10-a91c-c07fd503dc72,3a552307-6f65-4c3a-a54d-d271c022e93b,PURCHASE,10.0,2026-08-21T14:52:01.488479
c770e495-e0c2-436c-9915-8858d0119668,7da7a7d5-e468-4f10-a91c-c07fd503dc72,3a552307-6f65-4c3a-a54d-d271c022e93b,ADD_TO_CART,5.0,2026-08-21T14:52:01.488479
