customer_id,listing_id,crop_id,crop_name,purchase_count,total_quantity,recommendation_type
415c5186-549e-44e9-9132-6d158175f5c1,bf9e355c-e1c9-428e-906d-8e9a455ce885,abef6b46-97a3-4d47-847a-0a058895e915,Tomato,4,9.39,BUY_AGAIN
415c5186-549e-44e9-9132-6d158175f5c1,fc99c491-28ac-40fc-bd3b-edf6d3a3588b,d98d579c-c9b5-454e-8a92-971240c312eb,Onion,4,13.330000000000002,BUY_AGAIN
415c5186-549e-44e9-9132-6d158175f5c1,798ae4e6-fad9-4806-8971-c892a9483220,2f6f3a77-07d3-4a5d-9422-277b8cb53de2,Potato,3,13.0,BUY_AGAIN
415c5186-549e-44e9-9132-6d158175f5c1,26aee757-06a2-4ead-ab16-d1e71fd68f1b,653ff738-2173-4c0d-9619-2be06db39e8c,Green Chilli,1,4.73,BUY_AGAIN
415c5186-549e-44e9-9132-6d158175f5c1,c6914581-923c-445a-9f9c-eaf0ec5a2c33,ef45df06-ae20-45cb-9c78-f423589fe7a0,Coriander,1,2.74,BUY_AGAIN
7da7a7d5-e468-4f10-a91c-c07fd503dc72,bf9e355c-e1c9-428e-906d-8e9a455ce885,abef6b46-97a3-4d47-847a-0a058895e915,Tomato,4,14.4,BUY_AGAIN
7da7a7d5-e468-4f10-a91c-c07fd503dc72,fc99c491-28ac-40fc-bd3b-edf6d3a3588b,d98d579c-c9b5-454e-8a92-971240c312eb,Onion,4,10.420000000000002,BUY_AGAIN
7da7a7d5-e468-4f10-a91c-c07fd503dc72,26aee757-06a2-4ead-ab16-d1e71fd68f1b,653ff738-2173-4c0d-9619-2be06db39e8c,Green Chilli,4,13.75,BUY_AGAIN
7da7a7d5-e468-4f10-a91c-c07fd503dc72,c6914581-923c-445a-9f9c-eaf0ec5a2c33,ef45df06-ae20-45cb-9c78-f423589fe7a0,Coriander,4,7.09,BUY_AGAIN
7da7a7d5-e468-4f10-a91c-c07fd503dc72,39dac036-1cbb-41e3-9550-b0ec6a31b6eb,178c56a4-1347-43a1-9c70-b8ad4e14aebd,Palak,1,1.81,BUY_AGAIN
7da7a7d5-e468-4f10-a91c-c07fd503dc72,6fcc34f9-1490-4c70-ae89-f338a3157ec6,59533992-5f56-4fd7-aafc-039199e5d9d6,Carrot,1,2.3,BUY_AGAIN
7da7a7d5-e468-4f10-a91c-c07fd503dc72,53375854-801f-4fc4-9bca-a764bf6963fe,abf9c741-823f-4047-ae80-0254c25dfaf7,Banana,1,2.21,BUY_AGAIN
7da7a7d5-e468-4f10-a91c-c07fd503dc72,f2ae0ff7-611d-4a23-b1ee-97688a2701e7,68333e4b-e52f-429e-9139-07cc61dc5eb0,Cabbage,1,3.48,BUY_AGAIN
4be287a3-4af7-4b0f-93da-1215dbbe7007,39dac036-1cbb-41e3-9550-b0ec6a31b6eb,178c56a4-1347-43a1-9c70-b8ad4e14aebd,Palak,3,5.75,BUY_AGAIN
4be287a3-4af7-4b0f-93da-1215dbbe7007,6fcc34f9-1490-4c70-ae89-f338a3157ec6,59533992-5f56-4fd7-aafc-039199e5d9d6,Carrot,3,8.16,BUY_AGAIN
